Название,Цена
Подвесной светильник Сансет Black,4190
Торшер Билли Black,12990
Подвесной светильник Бабл-9,16490
Торшер Бабл-1,6190
Подвесной светильник Бабл-3,6190
Бра Бабл Black,1990
Настольная лампа Дэнди Black,3990
Настольная лампа Дэнди White,3990
Торшер Варио White,3999
Бра Варио Black,990
Бра Варио White,990
Подвесной светильник Сансет White,4190
Подвесной светильник Кэндел Black,2690
Подвесной светильник Кэндел White,2690
Торшер Вена Beige,9990
Настольная лампа Сфера Orange,4990
Подвесной светильник Кая Black,2590
Торшер Вена Black,9990
Настольная лампа Гровер Glass,3990
Настольная лампа Спайк Green,990
Настольная лампа Клауд White,11590
Настольная лампа Рэй Black,2990
Торшер Рэй Black,4990
Подвесной светильник Портланд Black,2590
Торшер Рэй White,3590
Торшер Мун Black,5990
Торшер Варио Black,4990
Настольная лампа Раффи Round,5990
Торшер Гросс White,5990
Бра Moderli Alina,3390
Подвесной светильник Маро Green,11690
Настольная лампа Машрум Grey,3990
Настольная лампа Рэй White,2590
Светильник потолочный Matthew,4990
Настольная лампа Junior-4,2990
Спот Лайт-1 Black,2390
Настольная лампа Спайк Orange,990
Настольная лампа Junior-1,3990
Подвесной светильник Milligan,5490
Настольная лампа Сфера Black,3990
Подвесной светильник Townshend-4,10990
Люстра Монти-3 White,9990
Настольная лампа Junior-2,2890
Настольная лампа Taeda,4390
Торшер Duetto,6990
Настольная лампа Sphere,6530
Подвесной светильник Layham,19790
Бра Galdakao-1,6590
Средняя цена,5572.270833333333
